Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sun, 17 Mar 1900",5N,,IRE v WAL,0-3,0:1,1-4,"Balmoral Showground, Belfast",
"Sun, 05 Jan 1901",5N,,WAL v ENG,13-0,3:0,4-0,Cardiff Arms Park,
"Sat, 09 Feb 1901",5N,,IRE v ENG,10-6,2:2,4-1,"Lansdowne Rd, Dublin",
"Sat, 09 Feb 1901",5N,,SCO v WAL,18-8,4:2,5-0,Inverleith,
"Sat, 23 Feb 1901",5N,,SCO v IRE,9-5,3:1,4-1,Inverleith,
"Sat, 09 Mar 1901","5N,CA",,ENG v SCO,3-18,1:4,0-5,"Rectory Ground, Blackheath",
"Sat, 16 Mar 1901",5N,,WAL v IRE,10-9,2:3,4-1,Swansea,
"Sun, 11 Jan 1902",5N,,ENG v WAL,8-9,2:2,1-4,"Rectory Ground, Blackheath",
"Sat, 01 Feb 1902",5N,,WAL v SCO,14-5,4:1,5-0,Cardiff Arms Park,
"Sat, 08 Feb 1902",5N,,ENG v IRE,6-3,2:1,4-1,"Welford Rd, Leicester",
"Sat, 22 Feb 1902",5N,,IRE v SCO,5-0,1:0,4-1,"Balmoral Showground, Belfast",
"Sat, 08 Mar 1902",5N,,IRE v WAL,0-15,0:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 15 Mar 1902","5N,CA",,SCO v ENG,3-6,1:2,1-4,Inverleith,
"Sun, 10 Jan 1903",5N,,WAL v ENG,21-5,4:1,5-0,Swansea,
"Sat, 07 Feb 1903",5N,,SCO v WAL,6-0,1:0,4-0,Inverleith,
"Sat, 14 Feb 1903",5N,,IRE v ENG,6-0,1:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 28 Feb 1903",5N,,SCO v IRE,3-0,1:0,4-1,Inverleith,
"Sat, 14 Mar 1903",5N,,WAL v IRE,18-0,6:0,5-0,Cardiff Arms Park,
"Sat, 21 Mar 1903","5N,CA",,ENG v SCO,6-10,2:2,1-4,Richmond,
"Sat, 15 Aug 1903",TO,,AUS v NZL,3-22,0:3,0-4,"Cricket Ground, Sydney",
"Wed, 26 Aug 1903",LT,1,SAF v LIO,10-10,2:2,2-2,"Wanderers, Johannesburg",
"Sat, 05 Sep 1903",LT,2,SAF v LIO,0-0,0:0,2-2,"Eclectic CG, Kimberley",
"Sat, 12 Sep 1903",LT,3,SAF v LIO,8-0,2:0,4-0,"Newlands, Cape Town",
"Sun, 09 Jan 1904",5N,,ENG v WAL,14-14,3:2,2-2,"Welford Rd, Leicester",
"Sat, 06 Feb 1904",5N,,WAL v SCO,21-3,4:1,5-0,Swansea,
"Sat, 13 Feb 1904",5N,,ENG v IRE,19-0,5:0,5-0,"Rectory Ground, Blackheath",
"Sat, 27 Feb 1904",5N,,IRE v SCO,3-19,1:5,0-5,"Lansdowne Rd, Dublin",
"Sat, 12 Mar 1904",5N,,IRE v WAL,14-12,4:4,5-2,"Balmoral Showground, Belfast",
"Sat, 19 Mar 1904","5N,CA",,SCO v ENG,6-3,2:1,4-1,Inverleith,
"Sat, 02 Jul 1904",LT,1,AUS v LIO,0-17,0:3,0-4,"Cricket Ground, Sydney",
"Sat, 23 Jul 1904",LT,2,AUS v LIO,3-17,1:3,0-4,"Exhibition Ground, Brisbane",
"Sat, 30 Jul 1904",LT,3,AUS v LIO,0-16,0:4,0-5,"Cricket Ground, Sydney",
"Sat, 13 Aug 1904",LT,1,NZL v LIO,9-3,2:0,4-0,"Athletic Park, Wellington",
"Sun, 14 Jan 1905",5N,,WAL v ENG,25-0,7:0,5-0,Cardiff Arms Park,
"Sat, 04 Feb 1905",5N,,SCO v WAL,3-6,1:2,1-4,Inverleith,
"Sat, 11 Feb 1905",5N,,IRE v ENG,17-3,5:1,5-0,"Mardyke, Cork",
"Sat, 25 Feb 1905",5N,,SCO v IRE,5-11,1:3,0-4,Inverleith,
"Sat, 11 Mar 1905",5N,,WAL v IRE,10-3,2:1,4-0,Swansea,
"Sat, 18 Mar 1905","5N,CA",,ENG v SCO,0-8,0:2,0-4,Richmond,
"Sat, 02 Sep 1905",TO,,NZL v AUS,14-3,4:1,5-0,"Carisbrook, Dunedin",
"Sat, 18 Nov 1905",TO,,SCO v NZL,7-12,1:4,1-5,"Murrayfield, Edinburgh",
"Sat, 25 Nov 1905",TO,,IRE v NZL,0-15,0:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 02 Dec 1905",TO,,ENG v NZL,0-15,0:5,0-5,Crystal Palace,
"Sat, 16 Dec 1905",TO,,WAL v NZL,3-0,1:0,4-1,Cardiff Arms Park,
"Tue, 01 Jan 1906",TO,,FRA v NZL,8-38,02:10,0-5,"Parc des Princes, Paris",
"Sun, 13 Jan 1906",5N,,ENG v WAL,3-16,1:4,0-5,Richmond,
"Sat, 03 Feb 1906",5N,,WAL v SCO,9-3,3:0,4-0,Cardiff Arms Park,
"Sat, 10 Feb 1906",5N,,ENG v IRE,6-16,2:4,0-5,"Welford Rd, Leicester",
"Sat, 24 Feb 1906",5N,,IRE v SCO,6-13,2:2,0-4,"Lansdowne Rd, Dublin",
"Sat, 10 Mar 1906",5N,,IRE v WAL,11-6,3:2,4-1,"Balmoral Showground, Belfast",
"Sat, 17 Mar 1906","5N,CA",,SCO v ENG,3-9,1:3,0-4,Inverleith,
"Thu, 22 Mar 1906",,,FRA v ENG,8-35,2:9,0-5,"Parc des Princes, Paris",
"Sat, 17 Nov 1906",TO,,SCO v SAF,6-0,2:0,4-0,"Hampden Park, Glasgow",
"Sat, 24 Nov 1906",TO,,IRE v SAF,12-15,3:4,1-5,"Ravenhill, Belfast",
"Sat, 01 Dec 1906",TO,,WAL v SAF,0-11,0:3,0-4,Swansea,
"Sat, 08 Dec 1906",TO,,ENG v SAF,3-3,1:1,2-2,Crystal Palace,
"Sun, 05 Jan 1907",,,ENG v FRA,41-13,9:2,5-0,Richmond,
"Sun, 12 Jan 1907",5N,,WAL v ENG,22-0,6:0,5-0,Swansea,
"Sat, 02 Feb 1907",5N,,SCO v WAL,6-3,2:0,4-1,Inverleith,
"Sat, 09 Feb 1907",5N,,IRE v ENG,17-9,4:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 23 Feb 1907",5N,,SCO v IRE,15-3,3:0,4-0,Inverleith,
"Sat, 09 Mar 1907",5N,,WAL v IRE,29-0,6:0,5-0,Cardiff Arms Park,
"Sat, 16 Mar 1907","5N,CA",,ENG v SCO,3-8,1:2,1-4,"Rectory Ground, Blackheath",
"Sat, 20 Jul 1907",TO,,AUS v NZL,6-26,0:6,0-5,"Cricket Ground, Sydney",
"Sat, 03 Aug 1907",TO,,AUS v NZL,5-14,1:4,0-5,"Woolloongabba, Brisbane",
"Sat, 10 Aug 1907",TO,,AUS v NZL,5-5,1:1,2-2,"Cricket Ground, Sydney",
"Thu, 01 Jan 1908",,,FRA v ENG,0-19,0:5,0-5,"Stade Colombes, Paris",
"Sun, 18 Jan 1908",5N,,ENG v WAL,18-28,4:5,1-5,"Ashton Gate, Bristol",
"Sat, 01 Feb 1908",5N,,WAL v SCO,6-5,2:1,4-1,Swansea,
"Sat, 08 Feb 1908",5N,,ENG v IRE,13-3,3:0,4-0,Richmond,
"Sat, 29 Feb 1908",5N,,IRE v SCO,16-11,4:2,5-1,"Lansdowne Rd, Dublin",
"Mon, 02 Mar 1908",,,WAL v FRA,36-4,9:0,5-0,Cardiff Arms Park,
"Sat, 14 Mar 1908",5N,,IRE v WAL,5-11,1:3,0-4,"Balmoral Showground, Belfast",
"Sat, 21 Mar 1908","5N,CA",,SCO v ENG,16-10,2:2,4-0,Inverleith,
"Sat, 06 Jun 1908",LT,1,NZL v LIO,32-5,7:1,5-0,"Carisbrook, Dunedin",
"Sat, 27 Jun 1908",LT,2,NZL v LIO,3-3,0:1,2-2,"Athletic Park, Wellington",
"Sat, 25 Jul 1908",LT,3,NZL v LIO,29-0,9:0,5-0,"Potters Park, Auckland",
"Sat, 12 Dec 1908",TO,,WAL v AUS,9-6,2:2,4-1,Cardiff Arms Park,
"Sun, 09 Jan 1909",TO,,ENG v AUS,3-9,1:3,0-4,"Rectory Ground, Blackheath",
