Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sat, 17 Sep 1994",WQ,,ROM v WAL,9-16,0:1,1-4,Bucharest,
"Sat, 01 Oct 1994",WQ,,ITA v ROM,24-6,0:0,4-0,Catania,
"Sat, 08 Oct 1994",TO,,SAF v ARG,42-22,5:3,5-0,"Boet Erasmus, Pt Elizabeth",
"Wed, 12 Oct 1994",WQ,,WAL v ITA,29-19,1:1,4-0,Cardiff Arms Park,
"Sat, 15 Oct 1994",TO,,SAF v ARG,46-26,7:2,5-0,"Ellis Park, Johannesburg",
"Sat, 05 Nov 1994",AI,,IRE v USA,26-15,2:2,4-0,"Lansdowne Rd, Dublin",
"Sat, 12 Nov 1994",AI,,ENG v ROM,54-3,6:0,5-0,"Twickenham, London",
"Sat, 19 Nov 1994",AI,,SCO v SAF,10-34,1:5,0-5,"Murrayfield, Edinburgh",
"Sat, 26 Nov 1994",AI,,WAL v SAF,12-20,0:3,0-4,Cardiff Arms Park,
"Sat, 10 Dec 1994",AI,,ENG v CAN,60-19,6:3,5-0,"Twickenham, London",
"Sat, 17 Dec 1994",AI,,FRA v CAN,28-9,3:0,4-0,Besancon,
"Sat, 21 Jan 1995",5N,,IRE v ENG,8-20,1:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 21 Jan 1995",5N,,FRA v WAL,21-9,2:0,4-0,"Parc des Princes, Paris",
"Sat, 21 Jan 1995",,,SCO v CAN,22-6,1:0,4-0,"Murrayfield, Edinburgh",
"Sat, 04 Feb 1995",5N,,SCO v IRE,26-13,2:2,4-0,"Murrayfield, Edinburgh",
"Sat, 04 Feb 1995",5N,,ENG v FRA,31-10,3:1,4-0,"Twickenham, London",
"Sat, 18 Feb 1995",5N,,WAL v ENG,9-23,0:3,0-4,Cardiff Arms Park,
"Sat, 18 Feb 1995",5N,,FRA v SCO,21-23,3:2,1-4,"Parc des Princes, Paris",
"Sat, 04 Mar 1995",5N,,IRE v FRA,7-25,1:4,0-5,"Lansdowne Rd, Dublin",
"Sat, 04 Mar 1995",5N,,SCO v WAL,26-13,2:1,4-0,"Murrayfield, Edinburgh",
"Fri, 10 Mar 1995",,,ARG v CAN,29-26,1:4,4-2,"FC Oeste, Buenos Aires",
"Sat, 18 Mar 1995","5N,CA",,ENG v SCO,24-12,0:0,4-0,"Twickenham, London",
"Sat, 18 Mar 1995",5N,,WAL v IRE,12-16,0:1,1-4,Cardiff Arms Park,
"Sat, 08 Apr 1995",WU,,ROM v FRA,15-24,0:2,0-4,Bucharest,
"Thu, 13 Apr 1995",WU,,SAF v SAM,60-8,9:1,5-0,"Ellis Park, Johannesburg",
"Sat, 22 Apr 1995",WU,,SCO v ROM,49-16,7:1,5-0,"Murrayfield, Edinburgh",
"Sat, 22 Apr 1995",WU,,NZL v CAN,73-7,10:1,5-0,"Eden Park, Auckland",
"Sun, 30 Apr 1995",WU,,AUS v ARG,53-7,7:1,5-0,"Ballymore, Brisbane",
"Sat, 06 May 1995",WU,,ITA v IRE,22-12,1:0,4-0,Treviso,
"Sat, 06 May 1995",WU,,AUS v ARG,30-13,3:1,4-0,"Football Stadium, Sydney",
"Thu, 25 May 1995",WC,Pool A,SAF v AUS,27-18,2:2,4-0,"Newlands, Cape Town",
"Fri, 26 May 1995",WC,Pool D,SCO v IVO,89-0,13:0,5-0,"Royal Bafokeng Stm, Rustenburg",Y
"Fri, 26 May 1995",WC,Pool D,FRA v TON,38-10,4:1,5-0,"Loftus Versfeld, Pretoria",Y
"Fri, 26 May 1995",WC,Pool A,ROM v CAN,3-34,0:3,0-4,"Boet Erasmus, Pt Elizabeth",Y
"Sat, 27 May 1995",WC,Pool C,NZL v IRE,43-19,5:3,5-0,"Ellis Park, Johannesburg",Y
"Sat, 27 May 1995",WC,Pool B,ITA v SAM,18-42,2:6,0-5,East_London,Y
"Sat, 27 May 1995",WC,Pool B,ENG v ARG,24-18,0:2,4-1,"Kings Park Stadium, Durban",Y
"Sat, 27 May 1995",WC,Pool C,WAL v JAP,57-10,7:2,5-0,"Vodacom Park, Bloemfontein",Y
"Tue, 30 May 1995",WC,Pool A,SAF v ROM,21-8,2:1,4-0,"Newlands, Cape Town",
"Tue, 30 May 1995",WC,Pool D,FRA v IVO,54-18,8:2,5-0,"Royal Bafokeng Stm, Rustenburg",Y
"Tue, 30 May 1995",WC,Pool D,SCO v TON,41-5,3:1,4-0,"Loftus Versfeld, Pretoria",Y
"Tue, 30 May 1995",WC,Pool B,ARG v SAM,26-32,1:3,1-4,East_London,Y
"Wed, 31 May 1995",WC,Pool A,AUS v CAN,27-11,3:1,4-0,"Boet Erasmus, Pt Elizabeth",Y
"Wed, 31 May 1995",WC,Pool C,NZL v WAL,34-9,3:0,4-0,"Ellis Park, Johannesburg",Y
"Wed, 31 May 1995",WC,Pool B,ENG v ITA,27-20,2:2,4-1,"Kings Park Stadium, Durban",Y
"Wed, 31 May 1995",WC,Pool C,IRE v JAP,50-28,7:4,5-1,"Vodacom Park, Bloemfontein",Y
"Sat, 03 Jun 1995",WC,Pool A,SAF v CAN,20-0,2:0,4-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 03 Jun 1995",WC,Pool A,AUS v ROM,42-3,6:0,5-0,Stellenbosch,Y
"Sat, 03 Jun 1995",WC,Pool D,FRA v SCO,22-19,1:1,4-1,"Loftus Versfeld, Pretoria",Y
"Sat, 03 Jun 1995",WC,Pool D,TON v IVO,29-11,3:1,4-0,"Royal Bafokeng Stm, Rustenburg",Y
"Sun, 04 Jun 1995",WC,Pool C,IRE v WAL,24-23,3:2,4-1,"Ellis Park, Johannesburg",Y
"Sun, 04 Jun 1995",WC,Pool B,ARG v ITA,25-31,3:3,1-4,East_London,Y
"Sun, 04 Jun 1995",WC,Pool B,ENG v SAM,44-22,4:3,5-0,"Kings Park Stadium, Durban",Y
"Sun, 04 Jun 1995",WC,Pool C,NZL v JAP,145-17,21:2,5-0,"Vodacom Park, Bloemfontein",Y
"Sat, 10 Jun 1995",WC,Quart,SAF v SAM,42-14,6:2,5-0,"Ellis Park, Johannesburg",
"Sat, 10 Jun 1995",WC,Quart,FRA v IRE,36-12,2:0,4-0,"Kings Park Stadium, Durban",Y
"Sun, 11 Jun 1995",WC,Quart,NZL v SCO,48-30,6:3,5-0,"Loftus Versfeld, Pretoria",Y
"Sun, 11 Jun 1995",WC,Quart,ENG v AUS,25-22,1:1,4-1,"Newlands, Cape Town",Y
"Sat, 17 Jun 1995",WC,Semi,SAF v FRA,19-15,1:0,4-1,"Kings Park Stadium, Durban",
"Sun, 18 Jun 1995",WC,Semi,NZL v ENG,45-29,6:4,5-1,"Newlands, Cape Town",Y
"Thu, 22 Jun 1995",WC,3&4,ENG v FRA,9-19,0:2,0-4,"Loftus Versfeld, Pretoria",Y
"Sat, 24 Jun 1995",WC,Final,SAF v NZL,15-12,0:0,4-1,"Ellis Park, Johannesburg",
"Sat, 22 Jul 1995",BC,a,NZL v AUS,28-16,1:1,4-0,"Eden Park, Auckland",
"Sat, 29 Jul 1995",BC,n,AUS v NZL,23-34,2:5,0-5,"Football Stadium, Sydney",
"Sat, 02 Sep 1995",ST,,SAF v WAL,40-11,5:1,5-0,"Ellis Park, Johannesburg",
"Sat, 14 Oct 1995",,,FRA v ITA,34-22,4:1,5-0,"FC Oeste, Buenos Aires",Y
"Sat, 14 Oct 1995",,,ARG v ROM,51-16,5:1,5-0,"FC Oeste, Buenos Aires",
"Tue, 17 Oct 1995",,,ARG v ITA,26-6,3:0,4-0,Tucuman,
"Tue, 17 Oct 1995",,,FRA v ROM,52-8,7:1,5-0,Tucuman,Y
"Sat, 21 Oct 1995",,,ARG v FRA,12-47,0:7,0-5,"FC Oeste, Buenos Aires",
"Sat, 28 Oct 1995",AI,,ITA v NZL,6-70,00:10,0-5,Bologna,
"Sat, 11 Nov 1995",AI,,WAL v FIJ,19-15,2:2,4-1,Cardiff Arms Park,
"Sat, 11 Nov 1995",AI,,FRA v NZL,22-15,3:0,4-1,Stade Toulouse,
"Sun, 12 Nov 1995",AI,,ITA v SAF,21-40,2:4,0-5,"Olympic Stadium, Rome",
"Sat, 18 Nov 1995",AI,,IRE v FIJ,44-8,6:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 18 Nov 1995",AI,,SCO v SAM,15-15,0:2,2-2,"Murrayfield, Edinburgh",
"Sat, 18 Nov 1995",AI,,ENG v SAF,14-24,1:3,0-4,"Twickenham, London",
"Sat, 18 Nov 1995",AI,,FRA v NZL,12-37,2:4,0-5,"Parc des Princes, Paris",
"Sat, 16 Dec 1995",AI,,ENG v SAM,27-9,2:0,4-0,"Twickenham, London",
"Sat, 06 Jan 1996",,,USA v IRE,18-25,2:1,1-4,Atlanta,
"Tue, 16 Jan 1996",,,WAL v ITA,31-26,3:2,4-1,Cardiff Arms Park,
"Sat, 20 Jan 1996",5N,,IRE v SCO,10-16,1:2,1-4,"Lansdowne Rd, Dublin",
"Sat, 20 Jan 1996",5N,,FRA v ENG,15-12,0:0,4-1,"Parc des Princes, Paris",
"Sat, 03 Feb 1996",5N,,SCO v FRA,19-14,2:1,4-1,"Murrayfield, Edinburgh",
"Sat, 03 Feb 1996",5N,,ENG v WAL,21-15,2:2,4-1,"Twickenham, London",
"Sat, 17 Feb 1996",5N,,WAL v SCO,14-16,1:1,1-4,Cardiff Arms Park,
"Sat, 17 Feb 1996",5N,,FRA v IRE,45-10,7:1,5-0,"Parc des Princes, Paris",
"Sat, 02 Mar 1996","5N,CA",,SCO v ENG,9-18,0:0,0-4,"Murrayfield, Edinburgh",
"Sat, 02 Mar 1996",5N,,IRE v WAL,30-17,4:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 16 Mar 1996",5N,,WAL v FRA,16-15,1:2,4-1,Cardiff Arms Park,
"Sat, 16 Mar 1996",5N,,ENG v IRE,28-15,1:0,4-0,"Twickenham, London",
"Sat, 20 Apr 1996",,,FRA v ROM,64-12,10:0,5-0,Aurillac,
"Fri, 07 Jun 1996",,,NZL v SAM,51-10,7:1,5-0,Napier,
"Sat, 08 Jun 1996",,,URU v ARG,18-37,2:5,0-5,Montevideo,
"Sun, 09 Jun 1996",ST,,AUS v WAL,56-25,7:3,5-0,"Ballymore, Brisbane",
"Sat, 15 Jun 1996",ST,1,NZL v SCO,62-31,9:3,5-0,"Carisbrook, Dunedin",
"Sat, 22 Jun 1996",ST,,ARG v FRA,27-34,4:5,2-5,"FC Oeste, Buenos Aires",
"Sat, 22 Jun 1996",ST,,AUS v WAL,42-3,6:0,5-0,"Football Stadium, Sydney",
"Sat, 22 Jun 1996",ST,2,NZL v SCO,36-12,5:2,5-0,"Eden Park, Auckland",
"Sat, 29 Jun 1996",ST,,ARG v FRA,15-34,0:4,0-5,"FC Oeste, Buenos Aires",
"Sat, 29 Jun 1996",ST,,AUS v CAN,74-9,10:0,5-0,"Ballymore, Brisbane",
"Tue, 02 Jul 1996",,,SAF v FIJ,43-18,5:2,5-0,"Loftus Versfeld, Pretoria",
"Sat, 06 Jul 1996","3N,BC",n,NZL v AUS,43-6,6:0,5-0,"Athletic Park, Wellington",
"Sat, 13 Jul 1996",3N,,AUS v SAF,21-16,2:1,4-1,"Football Stadium, Sydney",
"Sat, 13 Jul 1996",,,SAM v TON,30-15,4:1,5-0,Apia,
"Sat, 20 Jul 1996",3N,,NZL v SAF,15-11,0:1,4-1,"Lancaster Park, Christchurch",
"Sat, 27 Jul 1996","3N,BC",n,AUS v NZL,25-32,2:2,1-4,"Lang Park, Brisbane",
"Sat, 03 Aug 1996",3N,,SAF v AUS,25-19,1:1,4-1,"Vodacom Park, Bloemfontein",
"Sat, 10 Aug 1996",3N,,SAF v NZL,18-29,2:2,0-4,"Newlands, Cape Town",
"Sat, 17 Aug 1996",TO,1,SAF v NZL,19-23,1:3,1-4,"Kings Park Stadium, Durban",
"Sat, 24 Aug 1996",TO,2,SAF v NZL,26-33,3:3,1-4,"Loftus Versfeld, Pretoria",
"Sat, 31 Aug 1996",TO,3,SAF v NZL,32-22,3:3,4-0,"Ellis Park, Johannesburg",
"Wed, 18 Sep 1996",,,ARG v URU,54-20,8:2,5-0,"Mohawk Sports Pk, Hamilton_CAN",Y
"Sat, 21 Sep 1996",,,CAN v ARG,21-41,2:5,0-5,Markham,
"Wed, 25 Sep 1996",,,WAL v FRA,33-40,3:4,1-5,Cardiff Arms Park,
"Sat, 05 Oct 1996",AI,,ITA v WAL,22-31,1:3,0-4,"Olympic Stadium, Rome",
"Wed, 23 Oct 1996",AI,,ITA v AUS,18-40,2:4,0-5,Padua,
"Sat, 09 Nov 1996",TO,,ARG v SAF,15-46,2:7,0-5,"FC Oeste, Buenos Aires",
"Sat, 09 Nov 1996",AI,,SCO v AUS,19-29,2:2,0-4,"Murrayfield, Edinburgh",
"Tue, 12 Nov 1996",AI,,IRE v SAM,25-40,1:5,0-5,"Lansdowne Rd, Dublin",
"Sat, 16 Nov 1996",TO,,ARG v SAF,21-44,2:6,0-5,"FC Oeste, Buenos Aires",
"Sat, 23 Nov 1996",AI,,IRE v AUS,12-22,0:1,0-4,"Lansdowne Rd, Dublin",
"Sat, 23 Nov 1996",AI,,ENG v ITA,54-21,7:3,5-0,"Twickenham, London",
"Sat, 30 Nov 1996",AI,,FRA v SAF,12-22,0:2,0-4,"Stade Municipal, Bordeaux",
"Sun, 01 Dec 1996",AI,,WAL v AUS,19-28,1:3,0-4,Cardiff Arms Park,
"Sat, 07 Dec 1996",AI,,FRA v SAF,12-13,0:1,1-4,"Parc des Princes, Paris",
"Sat, 14 Dec 1996",AI,,SCO v ITA,29-22,4:1,5-1,"Murrayfield, Edinburgh",
"Sat, 14 Dec 1996",AI,,ENG v ARG,20-18,1:0,4-1,"Twickenham, London",
"Sun, 15 Dec 1996",AI,,WAL v SAF,20-37,1:5,0-5,Cardiff Arms Park,
"Sat, 04 Jan 1997",,,IRE v ITA,29-37,1:4,0-5,"Lansdowne Rd, Dublin",
"Sat, 11 Jan 1997",,,WAL v USA,34-14,4:1,5-0,Cardiff Arms Park,
"Sat, 18 Jan 1997",5N,,IRE v FRA,15-32,0:4,0-5,"Lansdowne Rd, Dublin",
"Sat, 18 Jan 1997",5N,,SCO v WAL,19-34,1:4,0-5,"Murrayfield, Edinburgh",
"Sat, 01 Feb 1997","5N,CA",,ENG v SCO,41-13,4:1,5-0,"Twickenham, London",
"Sat, 01 Feb 1997",5N,,WAL v IRE,25-26,3:3,1-4,Cardiff Arms Park,
"Sat, 15 Feb 1997",5N,,IRE v ENG,6-46,0:6,0-5,"Lansdowne Rd, Dublin",
"Sat, 15 Feb 1997",5N,,FRA v WAL,27-22,4:3,5-1,"Parc des Princes, Paris",
"Sat, 01 Mar 1997",5N,,SCO v IRE,38-10,5:1,5-0,"Murrayfield, Edinburgh",
"Sat, 01 Mar 1997",5N,,ENG v FRA,20-23,1:2,1-4,"Twickenham, London",
"Sat, 15 Mar 1997",5N,,WAL v ENG,13-34,1:4,0-5,Cardiff Arms Park,
"Sat, 15 Mar 1997",5N,,FRA v SCO,47-20,4:2,5-0,"Parc des Princes, Paris",
"Sat, 22 Mar 1997",,,FRA v ITA,32-40,4:4,1-5,Grenoble,
"Sat, 31 May 1997",ST,,ARG v ENG,20-46,3:6,0-5,"FC Oeste, Buenos Aires",
"Sun, 01 Jun 1997",,,ROM v FRA,20-51,2:9,0-5,Bucharest,
"Sat, 07 Jun 1997",ST,,ARG v ENG,33-13,4:2,5-0,"FC Oeste, Buenos Aires",
"Tue, 10 Jun 1997",,,SAF v TON,74-10,12:1,5-0,"Newlands, Cape Town",
"Sat, 14 Jun 1997",,,NZL v FIJ,71-5,11:1,5-0,Albany,
"Sat, 21 Jun 1997",TO,,NZL v ARG,93-8,14:1,5-0,"Athletic Park, Wellington",
"Sat, 21 Jun 1997",ST,,AUS v FRA,29-15,2:2,4-0,"Football Stadium, Sydney",
"Sat, 21 Jun 1997",LT,1,SAF v LIO,16-25,2:2,0-4,"Newlands, Cape Town",
"Sat, 28 Jun 1997",TO,,NZL v ARG,62-10,9:1,5-0,"Rugby Park, Hamilton",
"Sat, 28 Jun 1997",ST,,AUS v FRA,26-19,3:1,4-1,"Ballymore, Brisbane",
"Sat, 28 Jun 1997",LT,2,SAF v LIO,15-18,3:0,1-4,"Kings Park Stadium, Durban",
"Sat, 28 Jun 1997",,,SAM v TON,62-13,9:1,5-0,Apia,
"Sat, 05 Jul 1997",TO,1,USA v WAL,20-30,2:4,0-5,Wilmington,
"Sat, 05 Jul 1997",LT,3,SAF v LIO,35-16,4:1,5-0,"Ellis Park, Johannesburg",
"Sat, 05 Jul 1997",BC,n,NZL v AUS,30-13,4:1,5-0,"Lancaster Park, Christchurch",
"Sat, 12 Jul 1997",TO,2,USA v WAL,23-28,2:4,1-5,San Francisco,
"Sat, 12 Jul 1997","ST,CC",a,AUS v ENG,25-6,4:0,5-0,"Football Stadium, Sydney",
"Sat, 19 Jul 1997",TO,3,CAN v WAL,25-28,3:3,1-4,Markham,
"Sat, 19 Jul 1997",3N,,SAF v NZL,32-35,2:4,1-5,"Ellis Park, Johannesburg",
"Sat, 26 Jul 1997","3N,BC",n,AUS v NZL,18-33,2:3,0-4,"Cricket Ground, Melbourne",
"Sat, 02 Aug 1997",3N,,AUS v SAF,32-20,4:3,5-0,"Lang Park, Brisbane",
"Sat, 09 Aug 1997",3N,,NZL v SAF,55-35,7:5,5-1,"Eden Park, Auckland",
"Sat, 16 Aug 1997","3N,BC",n,NZL v AUS,36-24,3:4,4-1,"Carisbrook, Dunedin",
"Sat, 23 Aug 1997",3N,,SAF v AUS,61-22,8:3,5-0,"Loftus Versfeld, Pretoria",
"Sat, 30 Aug 1997",,,WAL v ROM,70-21,11:2,5-0,Wrexham,
"Sat, 27 Sep 1997",,,URU v ARG,17-56,1:8,0-5,Montevideo,
"Sat, 18 Oct 1997",,,FRA v ITA,30-19,2:1,4-0,Auch,
"Sat, 18 Oct 1997",,,ARG v ROM,45-18,6:2,5-0,Auch,Y
"Wed, 22 Oct 1997",,,FRA v ROM,39-3,5:0,5-0,Lourdes,
"Wed, 22 Oct 1997",,,ARG v ITA,18-18,1:0,2-2,Lourdes,Y
"Sun, 26 Oct 1997",,,FRA v ARG,32-27,4:3,5-1,Tarbes,
"Sat, 01 Nov 1997",TO,,ARG v AUS,15-23,0:1,0-4,"FC Oeste, Buenos Aires",
"Sat, 08 Nov 1997",TO,,ARG v AUS,18-16,2:2,4-1,"FC Oeste, Buenos Aires",
"Sat, 08 Nov 1997",AI,,ITA v SAF,31-62,3:9,0-5,Bologna,
"Sat, 15 Nov 1997","AI,CC",a,ENG v AUS,15-15,0:2,2-2,"Twickenham, London",
"Sat, 15 Nov 1997",AI,,IRE v NZL,15-63,2:7,0-5,"Lansdowne Rd, Dublin",
"Sat, 15 Nov 1997",AI,,FRA v SAF,32-36,3:5,1-5,Lyon,
"Sun, 16 Nov 1997",AI,,WAL v TON,46-12,6:2,5-0,Swansea,
"Sat, 22 Nov 1997",AI,,SCO v AUS,8-37,1:5,0-5,"Murrayfield, Edinburgh",
"Sat, 22 Nov 1997",AI,1,ENG v NZL,8-25,1:3,0-4,"Old Trafford, Manchester",
"Sat, 22 Nov 1997",AI,,FRA v SAF,10-52,1:7,0-5,"Parc des Princes, Paris",
"Sat, 29 Nov 1997",AI,,WAL v NZL,7-42,1:5,0-5,"Wembley Stadium, London",
"Sat, 29 Nov 1997",AI,,ENG v SAF,11-29,1:4,0-5,"Twickenham, London",
"Sun, 30 Nov 1997",AI,,IRE v CAN,33-11,5:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 06 Dec 1997",AI,,SCO v SAF,10-68,01:10,0-5,"Murrayfield, Edinburgh",
"Sat, 06 Dec 1997",AI,2,ENG v NZL,26-26,3:2,2-2,"Twickenham, London",
"Sat, 20 Dec 1997",AI,,ITA v IRE,37-22,3:1,4-0,Bologna,
"Sat, 24 Jan 1998",,,ITA v SCO,25-21,1:2,4-1,Treviso,
"Sat, 07 Feb 1998",5N,,IRE v SCO,16-17,1:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 07 Feb 1998",5N,,FRA v ENG,24-17,2:1,4-1,"Stade de France, Paris",
"Sat, 07 Feb 1998",,,WAL v ITA,23-20,2:2,4-1,Llanelli,
"Sat, 21 Feb 1998",5N,,SCO v FRA,16-51,1:7,0-5,"Murrayfield, Edinburgh",
"Sat, 21 Feb 1998",5N,,ENG v WAL,60-26,8:4,5-1,"Twickenham, London",
"Sat, 07 Mar 1998",5N,,WAL v SCO,19-13,1:2,4-1,"Wembley Stadium, London",
"Sat, 07 Mar 1998",5N,,FRA v IRE,18-16,2:1,4-1,"Stade de France, Paris",
"Sat, 21 Mar 1998",5N,,IRE v WAL,21-30,2:3,0-4,"Lansdowne Rd, Dublin",
"Sun, 22 Mar 1998","5N,CA",,SCO v ENG,20-34,2:4,0-5,"Murrayfield, Edinburgh",
"Sat, 04 Apr 1998",5N,,ENG v IRE,35-17,4:2,5-0,"Twickenham, London",
"Sun, 05 Apr 1998",5N,,WAL v FRA,0-51,0:7,0-5,"Wembley Stadium, London",
"Tue, 26 May 1998",ST,,FIJ v SCO,51-26,7:2,5-0,"National Stadium, Suva",
"Sat, 06 Jun 1998","ST,CC",a,AUS v ENG,76-0,11:0,5-0,"Lang Park, Brisbane",
"Sat, 06 Jun 1998",ST,,ZIM v WAL,11-49,1:8,0-5,Harare,
"Sat, 13 Jun 1998",ST,,ARG v FRA,18-35,2:5,0-5,"Velez Sarsfield, Buenos Aires",
"Sat, 13 Jun 1998",ST,,SAF v IRE,37-13,5:1,5-0,"Vodacom Park, Bloemfontein",
"Sat, 13 Jun 1998","ST,HC",1,AUS v SCO,45-3,4:0,5-0,"Football Stadium, Sydney",
"Sat, 20 Jun 1998",ST,1,NZL v ENG,64-22,9:3,5-0,"Carisbrook, Dunedin",
"Sat, 20 Jun 1998",ST,,ARG v FRA,12-37,0:5,0-5,"Velez Sarsfield, Buenos Aires",
"Sat, 20 Jun 1998",ST,,SAF v IRE,33-0,5:0,5-0,"Loftus Versfeld, Pretoria",
"Sat, 20 Jun 1998","ST,HC",2,AUS v SCO,33-11,4:1,5-0,"Ballymore, Brisbane",
"Sat, 27 Jun 1998",ST,,SAF v WAL,96-13,15:1,5-0,"Loftus Versfeld, Pretoria",
"Sat, 27 Jun 1998",ST,2,NZL v ENG,40-10,6:1,5-0,"Eden Park, Auckland",
"Sat, 27 Jun 1998",ST,,FIJ v FRA,9-34,0:4,0-5,"National Stadium, Suva",
"Sat, 04 Jul 1998",ST,,SAF v ENG,18-0,2:0,4-0,"Newlands, Cape Town",
"Sat, 11 Jul 1998","3N,BC",n,AUS v NZL,24-16,2:2,4-0,"Cricket Ground, Melbourne",
"Sat, 18 Jul 1998",3N,,AUS v SAF,13-14,2:1,1-4,"Subiaco Oval, Perth_AUS",
"Sat, 25 Jul 1998",3N,,NZL v SAF,3-13,0:1,0-4,"Athletic Park, Wellington",
"Sat, 01 Aug 1998","3N,BC",a,NZL v AUS,23-27,2:4,1-5,"Jade Stadium, Christchurch",
"Sat, 08 Aug 1998",,,ARG v ROM,68-22,9:2,5-0,Rosario,
"Sat, 15 Aug 1998",WQ,,ARG v USA,52-24,5:2,5-0,"Cricket & Rugby, Buenos Aires",
"Sat, 15 Aug 1998",3N,,SAF v NZL,24-23,4:2,5-1,"Kings Park Stadium, Durban",
"Tue, 18 Aug 1998",WQ,,ARG v URU,55-0,6:0,5-0,"CASI, Buenos Aires",
"Sat, 22 Aug 1998",WQ,,ARG v CAN,54-28,5:1,5-0,"Cricket & Rugby, Buenos Aires",
"Sat, 22 Aug 1998",3N,,SAF v AUS,29-15,2:0,4-0,"Ellis Park, Johannesburg",
"Sat, 29 Aug 1998",BC,a,AUS v NZL,19-14,1:1,4-1,"Football Stadium, Sydney",
"Tue, 15 Sep 1998",,,JAP v ARG,44-29,4:4,5-1,"Prince Chichibu Stadium, Tokyo",
"Fri, 18 Sep 1998",WQ,,AUS v FIJ,66-20,9:2,5-0,"Parramatta Stadium, Sydney",
"Fri, 18 Sep 1998",WQ,,SAM v TON,28-20,3:3,4-0,"Parramatta Stadium, Sydney",Y
"Tue, 22 Sep 1998",WQ,,AUS v TON,74-0,12:0,5-0,"Bruce Stadium, Canberra",
"Sat, 26 Sep 1998",WQ,,AUS v SAM,25-13,3:2,4-0,"Ballymore, Brisbane",
"Sat, 07 Nov 1998",AI,,ITA v ARG,23-19,2:1,4-1,Piacenza,
"Sat, 14 Nov 1998",WQ,,IRE v GEO,70-0,10:0,5-0,"Lansdowne Rd, Dublin",
"Sat, 14 Nov 1998",AI,,WAL v SAF,20-28,1:3,0-4,"Wembley Stadium, London",
"Sat, 14 Nov 1998",WQ,,ENG v NET,110-0,16:0,5-0,"McAlpine Stdm, Huddersfield",
"Sat, 14 Nov 1998",AI,,FRA v ARG,34-14,5:1,5-0,Nantes,
"Sat, 21 Nov 1998",WQ,,IRE v ROM,53-35,7:5,5-1,"Lansdowne Rd, Dublin",
"Sat, 21 Nov 1998",AI,,SCO v SAF,10-35,1:5,0-5,"Murrayfield, Edinburgh",
"Sat, 21 Nov 1998",AI,,WAL v ARG,43-30,4:4,5-1,Llanelli,
"Sat, 21 Nov 1998",AI,,FRA v AUS,21-32,2:3,0-4,"Stade de France, Paris",
"Sun, 22 Nov 1998",WQ,,ENG v ITA,23-15,2:0,4-0,"McAlpine Stdm, Huddersfield",
"Sat, 28 Nov 1998","AI,CC",a,ENG v AUS,11-12,1:0,1-4,"Twickenham, London",
"Sat, 28 Nov 1998",AI,,IRE v SAF,13-27,1:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 05 Dec 1998",AI,,ENG v SAF,13-7,1:1,4-1,"Twickenham, London",
"Sat, 06 Feb 1999",5N,,IRE v FRA,9-10,0:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 06 Feb 1999",5N,,SCO v WAL,33-20,4:2,5-0,"Murrayfield, Edinburgh",
"Sat, 20 Feb 1999","5N,CA",,ENG v SCO,24-21,3:3,4-1,"Twickenham, London",
"Sat, 20 Feb 1999",5N,,WAL v IRE,23-29,2:2,1-4,"Wembley Stadium, London",
"Sat, 06 Mar 1999",5N,,IRE v ENG,15-27,0:2,0-4,"Lansdowne Rd, Dublin",
"Sat, 06 Mar 1999",5N,,FRA v WAL,33-34,4:3,2-4,"Stade de France, Paris",
"Sat, 06 Mar 1999",,,SCO v ITA,30-12,3:2,4-0,"Murrayfield, Edinburgh",
"Sat, 20 Mar 1999",5N,,SCO v IRE,30-13,4:1,5-0,"Murrayfield, Edinburgh",
"Sat, 20 Mar 1999",5N,,ENG v FRA,21-10,0:1,4-0,"Twickenham, London",
"Sat, 20 Mar 1999",,,ITA v WAL,21-60,2:7,0-5,Treviso,
"Sat, 10 Apr 1999",5N,,FRA v SCO,22-36,3:5,0-5,"Stade de France, Paris",
"Sat, 10 Apr 1999",,,IRE v ITA,39-30,5:3,5-0,"Lansdowne Rd, Dublin",
"Sun, 11 Apr 1999",5N,,WAL v ENG,32-31,2:3,4-1,"Wembley Stadium, London",
"Thu, 03 Jun 1999",,,FRA v ROM,62-8,9:1,5-0,Castres,
"Sat, 05 Jun 1999",ST,,ARG v WAL,26-36,2:3,0-4,"FC Oeste, Buenos Aires",
"Sat, 05 Jun 1999",,,SAM v TON,6-6,0:0,2-2,Apia,
"Sat, 12 Jun 1999",ST,,ARG v WAL,16-23,1:1,1-4,"FC Oeste, Buenos Aires",
"Sat, 12 Jun 1999",ST,,SAF v ITA,74-3,11:0,5-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 12 Jun 1999",ST,,AUS v IRE,46-10,6:1,5-0,"Ballymore, Brisbane",
